İlan Numarası,İlan Güncelleme Tarihi,İlçe,Mahalle,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,İlan Oluşturma Tarihi,Türü,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Banyo Sayısı,Fiyat,Krediye Uygunluk,Balkon Durumu,Yatırıma Uygunluk,Site İçerisinde,Eşya Durumu,Takas,WC Sayısı
16089314,14 Ekim 2024,Muratpaşa Satılık Daire,Gençlik Mahallesi Satılık Daire,Satılık,80 m²,2+1,1.Kat,Isıtma Yok,14 Ekim 2024,Konut,Daire,90 m²,16-20,4,Boş,2,"4,350,000",,Var,,Hayır,Boş,,
14375766,09 Ekim 2024,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,Satılık,110 m²,2+1,10.Kat,Klimalı,09 Aralık 2023,Konut,Klimalı,130 m²,16-20,12,Boş,2,"4,790,000",Bilinmiyor,,Yatırıma Uygun,Evet,Eşyalı,Var,2
13906726,27 Eylül 2024,Serik Satılık Daire,Akçaalan Mahallesi Satılık Daire,Satılık,300 m²,5+2,6.Kat,Klimalı,11 Eylül 2023,Konut,Klimalı,320 m²,4,6,Boş,2,"5,000,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,Boş,Yok,2
13804063,11 Ekim 2024,Alanya Satılık Daire,Çıplaklı Mahallesi Satılık Daire,Satılık,50 m²,1+1,2.Kat,Klimalı,25 Ağustos 2023,Konut,Klimalı,55 m²,1,5,Mülk Sahibi Oturuyor,1,"2,550,000",Krediye Uygun Değil,Var,Yatırıma Uygun,Hayır,Eşyalı,,1
14174813,10 Ekim 2024,Manavgat Satılık Daire,Sarılar Mahallesi Satılık Daire,Satılık,154 m²,4+1,5.Kat,Klimalı,28 Ekim 2023,Konut,Klimalı,155 m²,0 (Yeni),5,Boş,2,"6,300,000",Krediye Uygun Değil,,Bilinmiyor,Hayır,Boş,Yok,
15689031,14 Ekim 2024,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,Satılık,280 m²,4+1,2.Kat,Klimalı,13 Ağustos 2024,Konut,Klimalı,300 m²,1,3,Boş,2,"4,900,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,Boş,Var,
13998761,09 Ekim 2024,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,Satılık,180 m²,3+1,6.Kat,Klimalı,26 Eylül 2023,Konut,Klimalı,200 m²,11-15,6,Boş,2,"5,890,000",Bilinmiyor,Var,Yatırıma Uygun,Hayır,,Var,3
15704581,10 Ekim 2024,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,Satılık,40 m²,1+1,2.Kat,Isıtma Yok,15 Ağustos 2024,Konut,Isıtma Yok,50 m²,0 (Yeni),3,Boş,1,"5,400,000",Krediye Uygun,,,Hayır,,,
15704495,10 Ekim 2024,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,Satılık,60 m²,2+1,2.Kat,Isıtma Yok,15 Ağustos 2024,Konut,Isıtma Yok,70 m²,0 (Yeni),3,Boş,2,"6,300,000",Krediye Uygun,,,Hayır,,,
14224951,09 Ekim 2024,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,Satılık,120 m²,2+1,2.Kat,Klimalı,07 Kasım 2023,Konut,Klimalı,135 m²,5-10,9,Boş,2,"5,890,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,,Var,2
16034622,11 Ekim 2024,Aksu Satılık Villa,Çamköy Mahallesi Satılık Villa,Satılık,280 m²,4+1,,Klimalı,08 Ekim 2024,Konut,Villa,292 m²,0 (Yeni),3,Boş,3,"11,500,000",,,,Hayır,,,
15953125,15 Ekim 2024,Serik Satılık Daire,Kürüş Mahallesi Satılık Daire,Satılık,55 m²,2+1,3.Kat,Klimalı,24 Eylül 2024,Konut,Klimalı,62 m²,0 (Yeni),4,Boş,1,"2,790,000",Krediye Uygun,,,Hayır,,,
15954173,13 Ekim 2024,Manavgat Satılık Daire,Evrenseki Mahallesi Satılık Daire,Satılık,90 m²,2+1,2.Kat,Klimalı,24 Eylül 2024,Konut,Klimalı,100 m²,0 (Yeni),2,Boş,1,"5,700,000",Krediye Uygun,,,Hayır,,,
16034781,08 Ekim 2024,Kepez Satılık Daire,Hüsnü Karakaş Mahallesi Satılık Daire,Satılık,100 m²,3+1,1.Kat,Klimalı,08 Ekim 2024,Konut,Daire,120 m²,1,3,Boş,2,"3,350,000",,Var,Yatırıma Uygun,Hayır,,,
16035320,14 Ekim 2024,Kepez Satılık Daire,Habibler Mahallesi Satılık Daire,Satılık,75 m²,2+1,2.Kat,Klimalı,08 Ekim 2024,Konut,Daire,90 m²,0 (Yeni),5,Boş,1,"2,650,000",,,,Hayır,,,
16035363,08 Ekim 2024,Kepez Satılık Daire,Sütçüler Mahallesi Satılık Daire,Satılık,165 m²,3+1,7.Kat,Yerden Isıtma,08 Ekim 2024,Konut,Yerden Isıtma,180 m²,0 (Yeni),15,Boş,2,"7,500,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,,,
16041904,10 Ekim 2024,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,Satılık,80 m²,2+1,2.Kat,Klimalı,09 Ekim 2024,Konut,Klimalı,90 m²,16-20,4,Boş,1,"4,560,000",Krediye Uygun,Var,,Hayır,,Yok,1
16042266,09 Ekim 2024,Alanya Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,Satılık,90 m²,2+1,Yüksek Giriş,Klimalı,09 Ekim 2024,Konut,Klimalı,100 m²,16-20,4,Boş,2,"6,650,000",Krediye Uygun,Var,,Hayır,Eşyalı,Yok,2
16042630,09 Ekim 2024,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,Satılık,45 m²,1+1,6.Kat,Klimalı,09 Ekim 2024,Konut,Klimalı,55 m²,0 (Yeni),7,Boş,1,"2,890,000",Bilinmiyor,Var,,Hayır,Boş,Var,1
16043482,12 Ekim 2024,Kepez Satılık Daire,Çamlıbel Mahallesi Satılık Daire,Satılık,120 m²,3+1,3.Kat,Klimalı,09 Ekim 2024,Konut,Daire,130 m²,0 (Yeni),4,Boş,1,"20,000",Bilinmiyor,Var,Bilinmiyor,Hayır,Boş,Yok,1
16043947,15 Ekim 2024,Serik Satılık Daire,Kürüş Mahallesi Satılık Daire,Satılık,55 m²,2+1,2.Kat,Klimalı,09 Ekim 2024,Konut,Klimalı,70 m²,0 (Yeni),4,Boş,1,"2,790,000",Krediye Uygun,,Bilinmiyor,Hayır,,Yok,
15840516,07 Eylül 2024,Alanya Satılık Daire,Saray Mahallesi Satılık Daire,Satılık,95 m²,2+1,1.Kat,Klimalı,06 Eylül 2024,Konut,Klimalı,100 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,"3,850,000",Krediye Uygun,,,Hayır,,,
16051630,12 Ekim 2024,Finike Satılık Daire,Hasyurt Mahallesi Satılık Daire,Satılık,56 m²,1+1,3.Kat,Klimalı,11 Ekim 2024,Konut,Daire,95 m²,0 (Yeni),6,Boş,1,"3,875,000",,,Bilinmiyor,Hayır,Boş,Var,
16051608,12 Ekim 2024,Finike Satılık Daire,Kum Mahallesi Satılık Daire,Satılık,45 m²,1+1,3.Kat,Klimalı,11 Ekim 2024,Konut,Daire,50 m²,0 (Yeni),6,Boş,1,"2,100,000",Krediye Uygun Değil,,Bilinmiyor,Hayır,Boş,Var,
16051697,12 Ekim 2024,Finike Satılık Daire,Kum Mahallesi Satılık Daire,Satılık,100 m²,2+1,1.Kat,Klimalı,11 Ekim 2024,Konut,Daire,125 m²,0 (Yeni),6,Boş,1,"3,500,000",,,Bilinmiyor,Hayır,Boş,Yok,
16091623,15 Ekim 2024,Muratpaşa Satılık Daire,Etiler Mahallesi Satılık Daire,Satılık,90 m²,2+1,2.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Daire,95 m²,0 (Yeni),3,Boş,1,"4,000,000",,,,Hayır,,,
16091639,15 Ekim 2024,Muratpaşa Satılık Daire,Etiler Mahallesi Satılık Daire,Satılık,140 m²,3+1,3.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Daire,160 m²,0 (Yeni),3,Boş,2,"5,750,000",,,,Hayır,,,
16091657,15 Ekim 2024,Aksu Satılık Daire,Altıntaş Mahallesi Satılık Daire,Satılık,40 m²,1+1,9.Kat,Yerden Isıtma,15 Ekim 2024,Konut,Yerden Isıtma,45 m²,0 (Yeni),10,Boş,1,"4,850,000",Krediye Uygun Değil,,Bilinmiyor,Hayır,Boş,Yok,
16051640,12 Ekim 2024,Finike Satılık Daire,Kum Mahallesi Satılık Daire,Satılık,135 m²,3+1,3.Kat,Klimalı,11 Ekim 2024,Konut,Daire,150 m²,5-10,4,Boş,1,"4,275,000",,,Bilinmiyor,Hayır,Boş,Yok,
16092127,15 Ekim 2024,Alanya Satılık Daire,Şekerhane Mahallesi Satılık Daire,Satılık,100 m²,2+1,2.Kat,Klimalı,15 Ekim 2024,Konut,Klimalı,110 m²,16-20,5,Boş,1,"4,600,000",Krediye Uygun,,Bilinmiyor,Hayır,Boş,Var,
16092129,15 Ekim 2024,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,Satılık,80 m²,2+1,4.Kat,Klimalı,15 Ekim 2024,Konut,Klimalı,90 m²,3,5,Boş,2,"4,180,000",Krediye Uygun,,Bilinmiyor,Hayır,Boş,Yok,
16092485,15 Ekim 2024,Manavgat Satılık Daire,Bahçelievler Mahallesi Satılık Daire,Satılık,140 m²,3+1,4.Kat,Klimalı,15 Ekim 2024,Konut,Klimalı,180 m²,16-20,4,Boş,1,"4,300,000",Krediye Uygun,,,Hayır,,,
16093162,15 Ekim 2024,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,Satılık,120 m²,3+1,3.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Kombi Doğalgaz,135 m²,16-20,5,Boş,2,"3,750,000",Krediye Uygun,Var,,Hayır,Boş,,
16092625,15 Ekim 2024,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,Satılık,158 m²,3+1,3.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Kombi Doğalgaz,167 m²,11-15,10,Boş,3,"5,500,000",Krediye Uygun,,,Evet,,,
16092515,15 Ekim 2024,Kemer Satılık Daire,Arslanbucak Mahallesi Satılık Daire,Satılık,80 m²,2+1,1.Kat,Klimalı,15 Ekim 2024,Konut,Klimalı,85 m²,0 (Yeni),3,Boş,1,"5,750,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,Boş,Var,1
16092950,15 Ekim 2024,Manavgat Satılık Yazlık,Kızılağaç Mahallesi Satılık Yazlık,Satılık,75 m²,2+1,Villa Tipi,Klimalı,15 Ekim 2024,Konut,Klimalı,85 m²,21 Ve Üzeri,2,Boş,1,"3,350,000",Krediye Uygun,,Bilinmiyor,Hayır,,Yok,
16093283,15 Ekim 2024,Muratpaşa Satılık Daire,Yeşilbahçe Mahallesi Satılık Daire,Satılık,165 m²,3+1,1.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Kombi Doğalgaz,185 m²,11-15,5,Boş,1,"12,900,000",Krediye Uygun,Var,,Hayır,Boş,Yok,
16093010,15 Ekim 2024,Kaş Satılık Villa,Kalkan Mahallesi Satılık Villa,Satılık,150 m²,4+1,,Klimalı,15 Ekim 2024,Konut,Villa,300 m²,11-15,2,Mülk Sahibi Oturuyor,3,"14,600,000",,,,Hayır,Eşyalı,,
16093034,15 Ekim 2024,Konyaaltı Satılık Daire,Sarısu Mahallesi Satılık Daire,Satılık,120 m²,3+1,6.Kat,Isıtma Yok,15 Ekim 2024,Konut,Daire,135 m²,11-15,9,Boş,1,"5,500,000",,,,Evet,,,
16093907,15 Ekim 2024,Konyaaltı Satılık Daire,Hurma Mahallesi Satılık Daire,Satılık,90 m²,2+1,2.Kat,Klimalı,15 Ekim 2024,Konut,Klimalı,100 m²,5-10,4,Boş,1,"4,550,000",Krediye Uygun,,,Evet,,,
16093454,15 Ekim 2024,Muratpaşa Satılık Daire,Etiler Mahallesi Satılık Daire,Satılık,360 m²,5+2,Çatı Dubleks,Klimalı,15 Ekim 2024,Konut,Klimalı,460 m²,5-10,3,Mülk Sahibi Oturuyor,2,"7,000,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,Boş,Var,2
16093915,15 Ekim 2024,Alanya Satılık Daire,Demirtaş Mahallesi Satılık Daire,Satılık,90 m²,2+1,Düz Giriş (Zemin),Klimalı,15 Ekim 2024,Konut,Klimalı,100 m²,11-15,6,Boş,1,"3,600,000",Krediye Uygun,,,Hayır,Eşyalı,Var,1
